node_id,design_variant,material,load_case,component_zone,von_mises_stress_MPa,displacement_mm,safety_factor,yield_strength_MPa,mesh_size_mm,simulation_time_sec,simulation_date,analyst
626,  Variant_B,Titanium,dyn.,Bracket_Arm,160.829,2.7064,5.4717,880,1.92,94.5,2024-02-12 09:38:00,Diana
729,Variant_A,Aluminum,dyn.,Mounting_Hole,212.45,7.7117,1.2709,270,3.33,2320.4,2024-07-20 04:08:00,Carlos
1879,  Variant_A,Titanium,Fatigue,Base_Plate,51.13,4.6391,17.211,880,4.06,239.3,2024-12-08 09:13:00,Alice
1664,Variant_B,Titanium,Dynamic,Rib_Section,156.574,4.0084,,880,1.58,1977.3,2024-09-19 23:01:00,Carlos
1559,Variant_D,Cast_Iron,Static,Weld_Joint,156.676,0.0857,1.2765,200,5.69,43.0,2024-11-09 08:07:00,Alice
1863,Variant_A,Aluminum,STATIC,Mounting_Hole,236.368,0.004129,1.1423,270,4.17,1687.7,2024-04-04 23:42:00,Carlos
1887,Variant_B,Cast_Iron,Dynamic,Bracket_Arm,,3.2907,1.2537,200,2.75,3393.5,2024-09-24 03:05:00,Carlos
1663,Variant_A,steel,Fatigue,Base_Plate,108.759,5.8871,2.2987,250,2.79,2937.5,2024-11-05 04:06:00,Diana
669,Variant_A,Aluminum,Dynamic,Bracket_Arm,110.466,4.4468,2.4442,270,2.46,1913.5,2024-06-09 10:41:00,
1363,Variant_B,Aluminum,Static,Bracket_Arm,111.651,4.4596,2.4182,270,2.12,2839.8,2024-10-19 06:37:00,Alice
749,Variant_D,Aluminum,Static,Bracket_Arm,141.465,,1.9086,270,3.79,1222.9,2024-10-24 17:43:00,Bob
1896,Variant_C,steel,Dynamic,Rib_Section,101.424,3.2112,2.4649,250,1.0,2550.6,2024-01-15 23:29:00,Carlos
1763,Variant_B,Aluminum,Fatigue,Rib_Section,67.422,,4.0046,270,3.44,1254.1,2024-05-10 12:02:00,Alice
1553,Variant_B,Titanium,Fatigue,Base_Plate,84.975,3.7112,10.356,880,3.68,1186.5,2024-07-18 16:04:00,Bob
113,Variant_C,Cast_Iron,Dynamic,Weld_Joint,231.982 MPa,,0.8621,200,1.26,2612.6,2024-11-02 01:56:00,Diana
1,Variant_A	,Steel,Fatigue,Mounting_Hole,186.858,2.4409,1.3379,250,3.12,1903.4,2024-05-05 07:08:00,Alice
1344,Variant_B,Titanium,static,Mounting_Hole,196.992,0.0032967,4.4672,880,2.87,898.8,2024-12-24 07:42:00,
20,Variant_C  ,Cast_Iron,Static,Weld_Joint,171.765,7.0978,1.1644,200,2.27,2814.2,2024-07-04 09:15:00,Alice
1279,Variant_C,Aluminum,Fatigue,Weld_Joint,101.941,6.8335,2.6486,270,1.75,2070.8,2024-10-20 11:08:00,Carlos
1591,Variant_A,Titanium,Fatigue,Rib_Section,67.301,3.1376,13.0756,880,2.01,3564.0,2024-09-10 00:55:00,Diana
949,Variant_A,C.Iron,Dynamic,Mounting_Hole,250.818,4.9938,0.7974,200,4.45,50.1,2024-12-19 11:08:00,Diana
1441,Variant_C,Aluminum,Static,Base_Plate,,6.2872,,270,1.46,3392.6,2024-01-08 11:52:00,Carlos
907,Variant_B,Titanium,dynamic,Mounting_Hole,-50.0,1.6174,3.2868,880,2.87,3323.3,2024-09-14 21:27:00,Carlos
481,Variant_A,Aluminum,Fatigue,Weld_Joint,83.954,6.2675,3.216,270,4.72,467.3,2024-02-13 21:22:00,Diana
664,Variant_C,Titanium,DYNAMIC,Mounting_Hole,272.649,4.4514,3.2276,880,1.97,2527.3,2024-10-13 17:59:00,Carlos
667,Variant_A,Cast_Iron,fatigue,Mounting_Hole,160.259,1.0885,1.248,200,4.06,1087.4,2024-08-25 20:09:00,Bob
575,Variant_D,Titanium,Static,Mounting_Hole,142.822,4.3028,6.1615,880,2.83,2447.3,2024-09-26 07:11:00,Alice
924,Variant_C,Steel,Fat,Rib_Section,119.446,3.2269,,250,2.69,3208.4,2024-01-21 04:43:00,Alice
1401,Variant_D,Ti,Dynamic,Weld_Joint,222.474,7.7971,3.9555,880,4.39,2489.3,2024-05-26 03:09:00,Alice
1471,Variant_D,Cast_Iron,Static,,242.139,0.0040149,0.826,200,5.06,883.9,2024-03-29 06:43:00,Carlos
1164,Variant_C,Titanium,Dynamic,Mounting_Hole,221.814 MPa,4.2775,3.9673,880,1.67,809.2,2024-03-24 03:29:00,Alice
1757,Variant_C,Steel,Fatigue,Rib_Section,61.729,5.6781,4.05,250,1.21,249.2,2024-04-02 21:18:00,Carlos
1076,Variant_C,titanium,Dynamic,Bracket_Arm,205.89,0.0564,4.2741,880,2.19,1104.4,2024-03-30 16:02:00,Alice
1790,n/a,Titanium,Static,Bracket_Arm,123.023,4.3208,7.1531,880,3.1,683.3,2024-07-08 18:23:00,Carlos
1717,Variant_D,Titanium,Fatigue,Mounting_Hole,203.923,4.8527,4.3154,880,4.82,64.9,2024-04-16 10:44:00,Carlos
1465,Variant_B,Aluminium,Dynamic,Weld_Joint,,0.9161,1.1081,270,1.9,1578.4,2024-04-01 21:36:00,Alice
1805, Variant_A ,Ti,Fatigue,Weld_Joint,77.485,7.0643,11.357,880,4.17,842.9,2024-04-10 15:07:00,Diana
585,Variant_A,ALUM,Dynamic,Rib_Section,60.68,0.7575,150.0,270,4.39,89.5,2024-07-17 14:40:00,Diana
195,Variant_A,Aluminum,fatiq,Rib_Section,91.955,2.6323,2.9362,270,2.18,1579.4,2024-08-25 18:48:00,Diana
1952,Variant_B,castiron,Static,,118.661,4.8508,1.6855,200,3.0,1061.1,2024-10-01 10:10:00,Carlos
1420,Variant_C,Titanium,dyn.,Weld_Joint,285.431,0.0458,3.0831,880,2.38,1819.4,2024-02-06 05:45:00,Diana
183,Variant_D,cast_iron,Dynamic,Base_Plate,131.267,6.496,1.5236,200,4.65,2373.6,2024-08-14 13:17:00,Bob
1250,Variant_D,cast_iron,Fatigue,Bracket_Arm,135.57,7.2185,1.4753,200,4.73,1407.1,2024-05-04 15:02:00,Carlos
1795,Variant_C  ,Titanium,Dynamic,Rib_Section,133.255,5.6899,6.6039,880,1.12,1842.8,2024-11-27 05:55:00,Diana
1821,Variant_D  ,Titanium,Static,Bracket_Arm,113.254,7.7944,7.7701,880,5.83,2988.3,2024-04-16 21:45:00,Carlos
826,  Variant_B,Cast_Iron,fatigue,Rib_Section,82.436,5.3586,2.4261,200,1.88,801.6,2024-03-10 02:08:00,Diana
574,Variant_A,Aluminum,Dynamic,Base_Plate,,1.5145,2.9225,270,3.97,1114.3,2024-01-27 20:39:00,Carlos
193,Variant_A,steeL,fatigue,Base_Plate,,4.4963,-1.5,250,2.01,2031.6,2024-04-09 11:22:00,Bob
352,Variant_B,castiron,Static,Bracket_Arm,106.026,0.6857,1.8863,200,2.98,2196.4,2024-05-17 09:17:00,Diana
407,NULL,Titanum,Fatigue,unknown,98.633,6.2383,8.922,880,3.94,87.8,2024-11-17 23:09:00,Diana
1822,Variant_C,Titanium,Static,Mounting_Hole,,6.6782,3.6646,880,1.26,2384.3,2024-08-06 12:20:00,Bob
1118,Variant_A,Steel,Fatigue,Bracket_Arm,102.052,3.5359,2.4497,250,2.13,264.3 sec,05-26-2024,Carlos
597,Variant_D,Titanum,Fatigue,Mounting_Hole,166.569,0.006160199999999999,5.2831,880,3.01,2925.0,2024-12-21 18:09:00,Carlos
237,Variant_C,Aluminum,Static,,,4.9045,1.6633,270,2.34,3149.1,2024-11-07 21:50:00,Diana
735,Variant_A,Titanium,Static,Mounting_Hole,215.4,7.5381,4.0854,880,4.11,1881.0,2024-11-11 14:39:00,Bob
228,Variant_D,Aluminum,Static,Weld_Joint,200.044,7.1413,1.3497,270,4.01,1612.9,2024-08-22 01:18:00,Bob
1931,Variant_D,Aluminum,Fatigue,Bracket_Arm,61.172,2.281,4.4138,270,4.28,3257.7,2024-08-15 00:39:00,Alice
NaN,Variant_B	,titanium,Fatigue,Base_Plate,93.501,3.356,9.4117,880,3.68,1397.8,2024-07-07 15:35:00,Carlos
1760,Variant_C,Aluminum,Static,Base_Plate,89.695,0.96,3.0102,270,2.25,2140.5,2024-05-27 23:45:00,Diana
303,Variant_A,Cast_Iron,Static,Rib_Section,62.455,2.6791,3.2023,200,3.72,2645.7,2024-03-08 16:26:00,Diana
1188,Variant_B,Aluminium,fatiq,Base_Plate,43.367,1.0402,6.2259,270,1.96,885.4,2024-05-13 00:49:00,Carlos
353,Variant_B,steel,Static,?,81.472,5.902,3.0685,250,3.7,1052.9,2024-05-21 13:19:00,Diana
378,Variant_C,ALUMINUM,fatiq,Rib_Section,89.608,2.1803,3.0131,270,2.33,710.5,2024-08-02 19:08:00,Diana
262,Variant_D,Titanium,Dynamic,Weld_Joint,295.26,4.4245,2.9804,880,2.75,1887.0,16/02/2024,Diana
677,Variant_B,Cast_Iron,fatiq,Base_Plate,97.243,7.9937,0.0,200,3.98,1054.0,2024-08-10 16:40:00,Carlos
1199,Variant_A,cast_iron,Dynamic,Bracket_Arm,0.0001,0.9998,2.0293,200,2.83,2045.1,2024-04-29 09:42:00,Alice
1431,Variant_A,Titanium,dynamic,Rib_Section,156.411,5.8755,5.6262,880,4.42,2246.5,2024-04-19 01:13:00,Alice
1610,Variant_B,Titanium,Static,Mounting_Hole,230.967,5.6838,3.8101,880,1.61,230.7,2024/03/17 18:01,Alice
1970,Variant_B,Cast_Iron,Static,Mounting_Hole,237.503,2.7469,0.8421,200,3.02,3409.0,2024-04-16 12:26:00,Diana
1155,Variant_D,Cast_Iron,Dynamic,Rib_Section,142.842,5.7237,1.4001,200,3.03,2313.2,2024-11-13 19:06:00,Carlos
1109,Variant_C,Cast_Iron,Dynamic,Base_Plate,104.312,3.5891,1.9173,200,2.51,3069.1,2024-03-08 04:32:00,Diana
1091,Variant_C,castiron,Static,Mounting_Hole,285.311,6.2034,0.0,200,1.65,1576.1,2024-02-13 01:34:00,Carlos
1607,Variant_A,Cast_Iron,Stat,Base_Plate,76.134 MPa,3.5225,2.6269,200,3.81,2349.0,2024-02-09 07:13:00,Carlos
1551,Variant_A,Ti,Static,Base_Plate,95.903,,9.1759,880,2.87,779.9,2024-08-15 01:58:00,Carlos
184,Variant_A,Titanium,Dyn,Weld_Joint,309.829,3.5208,2.8403,880,2.38,2218.2,2024-05-25 21:43:00,Diana
86,Variant_D,Aluminum,Static,Base_Plate,59.063,0.302,4.5714,270,5.12,1715.3,2024-12-19 20:15:00,Alice
1341,Variant_B,Aluminum,Dynamic,Base_Plate,81.774,3.0133,3.3018,270,3.21,3342.0,2024-01-07 21:15:00,Alice
1425,Variant_A,Aluminum,Static,Mounting_Hole,175.46,2.1808,1.5388,270,4.84,1286.3,2024-07-11 05:36:00,Diana
940,Variant_C,C.Iron,Fat,Weld_Joint,173.882,7.5934,1.1502,200,2.16,3595.1,2024-07-10 16:46:00,Alice
547,Variant_B,Steel,DYNAMIC,Mounting_Hole,282.035,1.7162,0.8864,250,1.68,1497.8,2024-05-03 10:17:00,
338,Variant_A,Cast_Iron,Dynamic,Rib_Section,110.8,4.0614,1.8051,200,2.61,700.9,2024-10-09 15:03:00,Alice
1265,Variant_C,Aluminum,Dynamic,Rib_Section,,5.2985,1.8729,270,1.28,1995.0,2024-07-12 19:03:00,Carlos
413,Variant_C,titanium,Static,Rib_Section,161.71,0.007339,5.4418,880,1.1,1481.5,2024-10-18 13:23:00,Bob
1882,NULL,Steel,Static,Mounting_Hole,170.927,4.3421,1.4626,250,2.88,1103.2,2024-03-12 12:07:00,Bob
401,Variant_B,Cast_Iron,Fatigue,N/A,168.556,3.9454,,200,2.06,1608.3,2024-12-26 03:00:00,Bob
1468,Variant_B,Al,Dynamic,Weld_Joint,204.776,0.145,1.3185,270,3.95,1742.5,2024-04-21 00:20:00,Bob
504,Variant_D,titanium,FATIGUE,Base_Plate,77.143,,11.4074,880,5.5,2622.1,2024-11-15 12:37:00,Alice
1844,Variant_C,Steel,Static,Rib_Section,43.393,7.2072,5.7613,250,2.08,3266.3,2024-03-04 12:01:00,Diana
151,Variant_C,TITANIUM,Fatigue,Rib_Section,52.375,4.8672,16.8019,880,2.04,2760.6,2024-11-22 11:06:00,Bob
1925,Variant_D,Steel,Stat,Mounting_Hole,287.59,6.754,,250,3.17,2661.0,2024-07-24 06:14:00,Carlos
161,Variant_B,Titanium,Static,Base_Plate,74.676,7.0418,11.7842,880,2.31,2353.6,2024-01-02 08:54:00,Bob
1323,Variant_A,Aluminum,Fatigue,Weld_Joint,230.638,4.5355,1.1707,270,3.38,2463.1,2024-02-13 23:18:00,Diana
49,Variant_C,Al,dyn.,Bracket_Arm,,4.6734,1.4996,270,2.9,307.5,2024-01-22 09:23:00,Alice
1533,Variant_D,Al,Dynamic,Mounting_Hole,279.078,2.2907,0.9675,270,4.9,2225.7,2024-02-13 09:36:00,Diana
410,Variant_B	,Titanium,FATIGUE,Weld_Joint,253.008,5.9792,3.4782,880,2.19,810.8,03-Dec-2024,Bob
1053,Variant_C,Aluminium,FATIGUE,Rib_Section,172.445,6.1406,1.5657,270,1.86,3262.2,2024-05-31 18:03:00,Alice
-1,Variant_C,castiron,DYNAMIC,,123.131,2.4982,1.6243,200,1.05,1594.1,2024-08-26 13:26:00,Diana
1217,Variant_A,Steel,Fatigue,Mounting_Hole,86.454,4.9233,2.8917,250,2.59,3518.6,2024-03-19 14:22:00,Bob
221,Variant_B,Titanium,Static,Weld_Joint,194.025,5.3692,4.5355,880,3.85,2030.8,2024-05-02 13:40:00,Diana
998,Variant_B,Aluminum,Dynamic,Bracket_Arm,9999.0,5.0777,2.4244,270,1.84,1293.4,2024-01-15 08:50:00,Carlos
1773,Variant_D,Aluminum,Fatigue,Weld_Joint,204.89,,1.3178,270,3.29,259.9,2024-07-15 18:41:00,Diana
461,Variant_B,Stl,Fatigue,Mounting_Hole,212.792,5.9643,1.1749,250,3.18,859.0,2024-02-07 11:45:00,Diana
1960,Variant_B,TITANIUM,Fatigue,Weld_Joint,202.735,2.0491,4.3406,880,1.66,2174.0,2024-04-25 05:40:00,Bob
506,Variant_D,Steel,Dynamic,Mounting_Hole,350.538,4.8237,0.7132,250,5.73,1778.5,2024-11-23 10:55:00,Carlos
344,Variant_A,steel,Dynamic,Bracket_Arm,119.493,4.5338,2.0922,250,2.12,1146.6,2024-02-08 10:38:00,Diana
282,  Variant_B,Titanium,Static,Mounting_Hole,216.592,4.7526,4.0629,880,3.88,290.9,2024-12-31 02:22:00,Diana
756,Variant_B,Cast_Iron,Dynamic,Rib_Section,136.775,2.8143,,200,2.15,1474.6,2024-03-11 05:12:00,Bob
106,Variant_D,Cast_Iron,Dynamic,Base_Plate,122.141,5.0238,1.6375,200,2.57,3149.0,2024-08-07 09:36:00,Alice
963,Variant_D,Aluminum,Fat,Rib_Section,96.55,3.5428,2.7965,270,4.95,285.3 sec,2024-05-28 13:12:00,Alice
1687,Variant_A,ALUM,Static,Bracket_Arm,132.379,5.9221,2.0396,270,4.92,2392.7,2024-05-23 05:16:00,Alice
1198,Variant_A,Aluminum,static,Base_Plate,69.099,6.4696,3.9074,270,3.36,601.0,2024-09-07 00:11:00,Bob
1741,Variant_B,Titanium,Static,Base_Plate,14.543,4.8416,,880,3.67,1741.6,2024/09/16 12:43,Diana
901,Variant_D,Cast_Iron,stat.,Rib_Section,37.385,1.3313,5.3497,200,4.56,3520.4,"April 04, 2024",Diana
473,Variant_A	,TITANIUM,Fatigue,Base_Plate,77.131,,11.4092,880,3.32,1537.2,2024-09-04 22:01:00,Diana
888,Variant_A,Aluminum,Fatigue,Rib_Section,97.977,0.2831,2.7557,270,4.77,1171.2,2024-04-12 12:57:00,Bob
1193,Variant_C,Steel,Dynamic,Mounting_Hole,221.037 MPa,2.5424,1.131,250,1.21,2365.9,2024-06-22 07:26:00,Diana
1097,Variant_C,Titanium,Dyn,Base_Plate,98.865,1.1118,8.901,880,1.96,2140.7,2024-12-10 04:45:00,Diana
761,Variant_A,Cast_Iron,Dynamic,Weld_Joint,232.297,5.8481,0.861,200,4.14,1893.0,2024-05-05 16:34:00,Diana
1998,Variant_A,Aluminum,Static,Bracket_Arm,116.834,3.9517,2.311,270,3.26,619.9,2024-02-08 05:23:00,Alice
854,Variant_C, Steel,Dynamic,Rib_Section,151.887,3.1111,1.646,250,2.61,371.6,2024-06-19 01:16:00,Carlos
1204,Variant_C,Aluminum,Static,Bracket_Arm,89.786,6.782,3.0072,270,2.49,2739.4,2024-08-16 02:52:00,Diana
66,Variant_A,ALUM,Dynamic,Base_Plate,69.656,2.2879,3.8762,270,4.96,648.9,07/02/2024,Bob
1889,Variant_C,Titanium,DYNAMIC,Base_Plate,88.788,5.2008,9.9112,880,1.52,713.1,2024-06-17 13:42:00,Carlos
1044,Variant_C,Titanium,Static,Weld_Joint,106.07,3.8131,,880,2.52,3577.8,2024-10-07 19:24:00,Alice
982,Variant_C,Steel,DYNAMIC,Bracket_Arm,173.89,5.0054,1.4377,250,1.4,3551.4,2024-01-11 17:20:00,Alice
948,Variant_B,Steel,DYNAMIC,Rib_Section,188.35,1.6638,1.3273,250,2.72,3307.9,2024-02-09 03:52:00,Bob
754,Variant_C,ALUMINUM,Fatigue,Bracket_Arm,114.299,6.2979,2.3622,270,2.21,231.3,2024-04-28 21:01:00,Carlos
306,Variant_A,C.Iron,stat.,Mounting_Hole,203.874,5.6394,0.981,200,3.3,1539.1,2024-07-28 05:49:00,Bob
976,Variant_D,CAST_IRON,Static,Base_Plate,83.037,2.4613,2.4086,200,3.59,158.7,2024-12-11 15:42:00,Diana
734,Variant_A,Cast Iron,DYNAMIC,Mounting_Hole,216.047,0.0042614,0.9257,200,4.97,1752.0,2024-06-27 06:20:00,Carlos
1568,Variant_C,steel,Static,Rib_Section,106.518,5.1455,2.347,250,1.74,148.5,2024-04-28 01:38:00,Carlos
368,Variant_D,TITANIUM,Dynamic,Weld_Joint,,1.6435,8.3366,880,4.0,1245.3,2024-08-12 23:44:00,Diana
1586, Variant_C ,Titanium,Fatigue,Bracket_Arm,123.63,6.0814,7.118,880,2.9,1759.4,2024-09-26 08:20:00,Alice
1148,Variant_A,Steel,Dyn,unknown,141.679,5.9229,1.7646,250,3.02,2270.9,2024-01-13 18:51:00,Carlos
1221,Variant_A,Cast_Iron,Stat,Weld_Joint,175.456,2.6444,,200,3.11,1425.0,2024-06-21 06:43:00,Alice
744,Variant_D,Stl,Static,Bracket_Arm,127.294,3.1291,1.964,250,3.14,1514.3,2024-09-28 09:21:00,Diana
411,Variant_D,Titanium,Fatigue,Weld_Joint,178.489,3.728,,880,2.71,78.8,05-02-2024,Alice
1232,None,Steel,Static,Bracket_Arm,0.0001,2.9663,1.7457,250,2.39,1046.7,2024-07-10 15:18:00,Bob
1098,Variant_B,Steel,Dyn,unknown,122.375,5.4092,2.0429,250,2.29,3458.1,2024-10-25 06:52:00,Carlos
1584,Variant_D,Cast_Iron,Fatigue,Weld_Joint,186.177,0.0020252,,200,5.61,3163.0,2024-12-02 02:04:00,Carlos
180,Variant_B,Steel,Static,Base_Plate,71.801,0.6875,3.4818,250,1.88,2587.3,2024-04-20 12:26:00,Diana
1150,Variant_C,Aluminium,Static,Base_Plate,,7.251,4.25,270,2.68,1837.7,2024-11-13 14:48:00,Alice
1854,  Variant_C,Cast_Iron,Static,Rib_Section,81.088,7.4477,2.4665,200,2.29,1924.6,2024-03-29 05:59:00,Bob
1786,Variant_C,Cast_Iron,Fatigue,Mounting_Hole,187.908,4.948,1.0644,200,2.31,2084.3,2024-03-13 07:50:00,Diana
133,Variant_B,Steel,Dynamic,Mounting_Hole,250.836,0.6622,0.9967,250,1.7,245.5 sec,2024-06-22 19:44:00,Diana
1574,Variant_A,Steel ,dyn.,Weld_Joint,175.047,7.2137,1.4282,250,4.19,1798.8,2024-08-01 19:47:00,Alice
377,Variant_A,Aluminum,dyn.,Weld_Joint,237.842,0.065,1.1352,270,3.99,788.4,2024-05-02 09:07:00,Bob
558,Variant_A,Cast_Iron,FATIGUE,Rib_Section,85.75,,2.3324,200,2.15,3010.9,2024-09-17 05:44:00,
88,Variant_A,Ti,Static,Rib_Section,,1.2577,10.8705,880,3.12,2586.0,2024-09-07 03:27:00,Carlos
618,Variant_A,Titanium,static,Bracket_Arm,79.046,7.8927,11.1328,880,2.75,229.7,2024-08-17 19:30:00,Diana
35,Variant_D,ALUMINUM,STATIC,Mounting_Hole,277.153,5.0106,0.9742,270,3.11,1826.2,2024-04-21 01:37:00,Alice
1378,Variant_C,Aluminum,Fatigue,Base_Plate,49.508,2.4534,5.4537,270,1.57,3188.7,2024-01-07 00:50:00,Alice
1522,Variant_C,Cast_Iron,Fatigue,Bracket_Arm,97.725,6.2641,2.0466,200,2.99,2693.8,2024-05-15 21:22:00,
225,Variant_D,Cast_Iron,Static,Rib_Section,109.481,0.3947,1.8268,200,2.84,3253.3,2024-07-10 08:47:00,Alice
143, Variant_C ,Titanium,Fatigue,Mounting_Hole,200.24,4.1296,4.3947,880,1.24,1775.2,2024-01-12 21:25:00,Carlos
586,Variant_D,Titanium,STATIC,Rib_Section,68.107,4.0533,12.9208,880,5.56,610.2,10/12/2024,Alice
957,Variant_B,Steel,Static,Base_Plate,74.168,4.2769,3.3707,250,1.77,1383.6,2024-01-08 16:13:00,Bob
412,Variant_B,C.Iron,Fatigue,Base_Plate,67.766,5.314,2.9513,200,1.7,3476.1,2024-02-06 16:56:00,Alice
1419,Variant_D,Steel,Dynamic,Mounting_Hole,,5.3442,0.8864,250,3.21,1634.6,2024-03-27 09:10:00,Alice
1319,Variant_B,Aluminum,Dynamic,Base_Plate,63.246,5.5305,4.269,270,3.35,1534.2,2024-05-16 01:58:00,Carlos
478,Variant_A,Cast_Iron,stat.,Mounting_Hole,302.104,3.871,0.662,200,3.33,3553.2,2024-07-22 15:31:00,Carlos
333,Variant_D,Cast_Iron,Static,Weld_Joint,228.003,2.9865,,200,2.76,275.3,2024-09-29 17:26:00,Alice
1167,Variant_A,Titanium,Static,Weld_Joint,168.012,6.8516,5.2377,880,3.49,449.3,2024-07-02 00:35:00,Alice
464,Variant_B,ALUM,Dynamic,Mounting_Hole,204.141,5.5257,1.3226,270,3.69,3403.7,2024-12-18 09:08:00,Bob
684,Variant_C,Titanium,Fatigue,Base_Plate,84.191,4.1674,10.4524,880,2.59,3511.6,2024-05-17 13:12:00,Alice
1387,Variant_C,Titanium,Static,Mounting_Hole,254.224,0.757,3.4615,880,1.37,782.8,2024-09-12 21:23:00,Carlos
688,Variant_B,Steel,static,Weld_Joint,187.87,7.6643,1.3307,250,2.83,1826.0,2024-09-09 06:21:00,Diana
1832,Variant_A,Aluminium,Static,Rib_Section,84.228,0.9267,3.2056,270,2.04,2183.7,2024-08-06 12:51:00,Diana
1698,Variant_A,titanium,Dynamic,,238.232,4.9271,3.6939,880,4.68,1178.1,2024-07-07 08:32:00,Alice
129,Variant_D,Titanum,Static,Bracket_Arm,102.87,5.6227,8.5545,880,5.23,2027.9,2024-10-19 12:14:00,Diana
1409,Variant_A,Titanium,Static,Base_Plate,86.508,0.6276,10.1725,880,4.61,950.6,2024-04-13 20:59:00,Alice
53,Variant_D,Aluminum,Static,Rib_Section,105.571,7.6329,2.5575,270,5.53,2194.0,2024-06-28 09:52:00,Bob
374,Variant_A,Aluminium,Dynamic,Mounting_Hole,194.244,0.007921000000000001,0.0,270,4.22,1143.4,2024-04-10 14:07:00,Carlos
243,Variant_B,Steel,Static,Weld_Joint,224.412,1.133,1.114,250,2.52,1763.6,2024-08-19 05:57:00,Diana
