node_id,design_variant,material,load_case,component_zone,von_mises_stress_MPa,displacement_mm,safety_factor,yield_strength_MPa,mesh_size_mm,simulation_time_sec,simulation_date,analyst,failure_risk,stress_ratio,perf_score
48,Variant_C,Titanium,Dynamic,Mounting_Hole,272.649,4.4514,3.2276,880,1.97,2527.3,2024-10-13 17:59:00,Carlos,Low,0.3098,0.5432
49,Variant_A,Cast_Iron,Fatigue,Mounting_Hole,160.259,1.0885,1.248,200,4.06,1087.4,2024-08-25 20:09:00,Bob,High,0.8013,0.1691
50,Variant_D,Titanium,Static,Mounting_Hole,142.822,4.3028,6.1615,880,2.83,2447.3,2024-09-26 07:11:00,Alice,Low,0.1623,0.7491
51,Variant_C,Steel,Fatigue,Rib_Section,119.446,3.2269,2.093,250,2.69,3208.4,2024-01-21 04:43:00,Alice,Medium,0.4778,0.397
52,Variant_D,Titanium,Dynamic,Weld_Joint,222.474,7.7971,3.9555,880,4.39,2489.3,2024-05-26 03:09:00,Alice,Low,0.2528,0.6065
53,Variant_C,Titanium,Dynamic,Mounting_Hole,221.814,4.2775,3.9673,880,1.67,809.2,2024-03-24 03:29:00,Alice,Low,0.2521,0.6074
54,Variant_C,Steel,Fatigue,Rib_Section,61.729,5.6781,4.05,250,1.21,249.2,2024-04-02 21:18:00,Carlos,Low,0.2469,0.6139
55,Variant_C,Titanium,Dynamic,Bracket_Arm,205.89,0.0564,4.2741,880,2.19,1104.4,2024-03-30 16:02:00,Alice,Low,0.234,0.6306
56,Variant_D,Titanium,Fatigue,Mounting_Hole,203.923,4.8527,4.3154,880,4.82,64.9,2024-04-16 10:44:00,Carlos,Low,0.2317,0.6336
57,Variant_A,Titanium,Fatigue,Weld_Joint,77.485,7.0643,11.357,880,4.17,842.9,2024-04-10 15:07:00,Diana,Low,0.0881,0.9471
58,Variant_A,Aluminum,Dynamic,Rib_Section,60.68,0.7575,4.4496,270,4.39,89.5,2024-07-17 14:40:00,Diana,Low,0.2247,0.6432
59,Variant_A,Aluminum,Fatigue,Rib_Section,91.955,2.6323,2.9362,270,2.18,1579.4,2024-08-25 18:48:00,Diana,Low,0.3406,0.5131
60,Variant_C,Titanium,Dynamic,Weld_Joint,285.431,0.0458,3.0831,880,2.38,1819.4,2024-02-06 05:45:00,Diana,Low,0.3244,0.5287
61,Variant_D,Cast_Iron,Dynamic,Base_Plate,131.267,6.496,1.5236,200,4.65,2373.6,2024-08-14 13:17:00,Bob,Medium,0.6563,0.2672
62,Variant_D,Cast_Iron,Fatigue,Bracket_Arm,135.57,7.2185,1.4753,200,4.73,1407.1,2024-05-04 15:02:00,Carlos,High,0.6778,0.2523
63,Variant_C,Titanium,Dynamic,Rib_Section,133.255,5.6899,6.6039,880,1.12,1842.8,2024-11-27 05:55:00,Diana,Low,0.1514,0.7733
64,Variant_D,Titanium,Static,Bracket_Arm,113.254,7.7944,7.7701,880,5.83,2988.3,2024-04-16 21:45:00,Carlos,Low,0.1287,0.8336
65,Variant_B,Cast_Iron,Fatigue,Rib_Section,82.436,5.3586,2.4261,200,1.88,801.6,2024-03-10 02:08:00,Diana,Medium,0.4122,0.4497
66,Variant_B,Cast_Iron,Static,Bracket_Arm,106.026,0.6857,1.8863,200,2.98,2196.4,2024-05-17 09:17:00,Diana,Medium,0.5301,0.3574
67,Variant_A,Steel,Fatigue,Bracket_Arm,102.052,3.5359,2.4497,250,2.13,264.3,2024-05-26 00:00:00,Carlos,Medium,0.4082,0.4531
68,Variant_D,Titanium,Fatigue,Mounting_Hole,166.569,6.160199999999899,5.2831,880,3.01,2925.0,2024-12-21 18:09:00,Carlos,Low,0.1893,0.6977
69,Variant_A,Titanium,Static,Mounting_Hole,215.4,7.5381,4.0854,880,4.11,1881.0,2024-11-11 14:39:00,Bob,Low,0.2448,0.6165
70,Variant_D,Aluminum,Static,Weld_Joint,200.044,7.1413,1.3497,270,4.01,1612.9,2024-08-22 01:18:00,Bob,High,0.7409,0.2094
71,Variant_D,Aluminum,Fatigue,Bracket_Arm,61.172,2.281,4.4138,270,4.28,3257.7,2024-08-15 00:39:00,Alice,Low,0.2266,0.6406
72,Variant_B,Titanium,Fatigue,Base_Plate,93.501,3.356,9.4117,880,3.68,1397.8,2024-07-07 15:35:00,Carlos,Low,0.1063,0.9127
73,Variant_C,Aluminum,Static,Base_Plate,89.695,0.96,3.0102,270,2.25,2140.5,2024-05-27 23:45:00,Diana,Low,0.3322,0.5211
74,Variant_A,Cast_Iron,Static,Rib_Section,62.455,2.6791,3.2023,200,3.72,2645.7,2024-03-08 16:26:00,Diana,Low,0.3123,0.5407
75,Variant_B,Aluminum,Fatigue,Base_Plate,43.367,1.0402,6.2259,270,1.96,885.4,2024-05-13 00:49:00,Carlos,Low,0.1606,0.7527
76,Variant_C,Aluminum,Fatigue,Rib_Section,89.608,2.1803,3.0131,270,2.33,710.5,2024-08-02 19:08:00,Diana,Low,0.3319,0.5214
77,Variant_D,Titanium,Dynamic,Weld_Joint,295.26,4.4245,2.9804,880,2.75,1887.0,2024-02-16 00:00:00,Diana,Low,0.3355,0.5179
78,Variant_B,Cast_Iron,Fatigue,Base_Plate,97.243,7.9937,2.0567,200,3.98,1054.0,2024-08-10 16:40:00,Carlos,Medium,0.4862,0.3905
80,Variant_A,Titanium,Dynamic,Rib_Section,156.411,5.8755,5.6262,880,4.42,2246.5,2024-04-19 01:13:00,Alice,Low,0.1777,0.7184
81,Variant_B,Titanium,Static,Mounting_Hole,230.967,5.6838,3.8101,880,1.61,230.7,2024-03-17 18:01:00,Alice,Low,0.2625,0.5949
82,Variant_B,Cast_Iron,Static,Mounting_Hole,237.503,2.7469,0.8421,200,3.02,3409.0,2024-04-16 12:26:00,Diana,High,1.1875,0.0337
83,Variant_D,Cast_Iron,Dynamic,Rib_Section,142.842,5.7237,1.4001,200,3.03,2313.2,2024-11-13 19:06:00,Carlos,High,0.7142,0.2275
84,Variant_C,Cast_Iron,Dynamic,Base_Plate,104.312,3.5891,1.9173,200,2.51,3069.1,2024-03-08 04:32:00,Diana,Medium,0.5216,0.3637
85,Variant_C,Cast_Iron,Static,Mounting_Hole,285.311,6.2034,0.701,200,1.65,1576.1,2024-02-13 01:34:00,Carlos,High,1.4266,0.028
86,Variant_A,Cast_Iron,Static,Base_Plate,76.134,3.5225,2.6269,200,3.81,2349.0,2024-02-09 07:13:00,Carlos,Low,0.3807,0.4767
87,Variant_A,Titanium,Static,Base_Plate,95.903,3.8921,9.1759,880,2.87,779.9,2024-08-15 01:58:00,Carlos,Low,0.109,0.9016
88,Variant_A,Titanium,Dynamic,Weld_Joint,309.829,3.5208,2.8403,880,2.38,2218.2,2024-05-25 21:43:00,Diana,Low,0.3521,0.5024
89,Variant_D,Aluminum,Static,Base_Plate,59.063,0.302,4.5714,270,5.12,1715.3,2024-12-19 20:15:00,Alice,Low,0.2188,0.6516
90,Variant_B,Aluminum,Dynamic,Base_Plate,81.774,3.0133,3.3018,270,3.21,3342.0,2024-01-07 21:15:00,Alice,Low,0.3029,0.5503
91,Variant_A,Aluminum,Static,Mounting_Hole,175.46,2.1808,1.5388,270,4.84,1286.3,2024-07-11 05:36:00,Diana,Medium,0.6499,0.2716
92,Variant_C,Cast_Iron,Fatigue,Weld_Joint,173.882,7.5934,1.1502,200,2.16,3595.1,2024-07-10 16:46:00,Alice,High,0.8694,0.1244
93,Variant_B,Steel,Dynamic,Mounting_Hole,282.035,1.7162,0.8864,250,1.68,1497.8,2024-05-03 10:17:00,,High,1.1281,0.0355
94,Variant_A,Cast_Iron,Dynamic,Rib_Section,110.8,4.0614,1.8051,200,2.61,700.9,2024-10-09 15:03:00,Alice,Medium,0.554,0.3398
95,Variant_C,Titanium,Static,Rib_Section,161.71,7.339,5.4418,880,1.1,1481.5,2024-10-18 13:23:00,Bob,Low,0.1838,0.7074
96,Variant_B,Aluminum,Dynamic,Weld_Joint,204.776,0.145,1.3185,270,3.95,1742.5,2024-04-21 00:20:00,Bob,High,0.7584,0.1977
97,Variant_D,Titanium,Fatigue,Base_Plate,77.143,3.8921,11.4074,880,5.5,2622.1,2024-11-15 12:37:00,Alice,Low,0.0877,0.9474
98,Variant_C,Steel,Static,Rib_Section,43.393,7.2072,5.7613,250,2.08,3266.3,2024-03-04 12:01:00,Diana,Low,0.1736,0.7263
99,Variant_C,Titanium,Fatigue,Rib_Section,52.375,4.8672,16.8019,880,2.04,2760.6,2024-11-22 11:06:00,Bob,Low,0.0595,0.9643
100,Variant_D,Steel,Static,Mounting_Hole,287.59,6.754,0.8693,250,3.17,2661.0,2024-07-24 06:14:00,Carlos,High,1.1504,0.0348
101,Variant_B,Titanium,Static,Base_Plate,74.676,7.0418,11.7842,880,2.31,2353.6,2024-01-02 08:54:00,Bob,Low,0.0849,0.9491
102,Variant_A,Aluminum,Fatigue,Weld_Joint,230.638,4.5355,1.1707,270,3.38,2463.1,2024-02-13 23:18:00,Diana,High,0.8542,0.1343
103,Variant_D,Aluminum,Dynamic,Mounting_Hole,279.078,2.2907,0.9675,270,4.9,2225.7,2024-02-13 09:36:00,Diana,High,1.0336,0.0387
104,Variant_B,Titanium,Fatigue,Weld_Joint,253.008,5.9792,3.4782,880,2.19,810.8,2024-12-03 00:00:00,Bob,Low,0.2875,0.5666
105,Variant_C,Aluminum,Fatigue,Rib_Section,172.445,6.1406,1.5657,270,1.86,3262.2,2024-05-31 18:03:00,Alice,Medium,0.6387,0.2794
106,Variant_A,Steel,Fatigue,Mounting_Hole,86.454,4.9233,2.8917,250,2.59,3518.6,2024-03-19 14:22:00,Bob,Low,0.3458,0.5082
107,Variant_B,Titanium,Static,Weld_Joint,194.025,5.3692,4.5355,880,3.85,2030.8,2024-05-02 13:40:00,Diana,Low,0.2205,0.6491
108,Variant_D,Aluminum,Fatigue,Weld_Joint,204.89,3.7273500000000004,1.3178,270,3.29,259.9,2024-07-15 18:41:00,Diana,High,0.7589,0.1974
109,Variant_B,Steel,Fatigue,Mounting_Hole,212.792,5.9643,1.1749,250,3.18,859.0,2024-02-07 11:45:00,Diana,High,0.8512,0.1363
110,Variant_B,Titanium,Fatigue,Weld_Joint,202.735,2.0491,4.3406,880,1.66,2174.0,2024-04-25 05:40:00,Bob,Low,0.2304,0.6354
111,Variant_D,Steel,Dynamic,Mounting_Hole,350.538,4.8237,0.7132,250,5.73,1778.5,2024-11-23 10:55:00,Carlos,High,1.4022,0.0285
112,Variant_A,Steel,Dynamic,Bracket_Arm,119.493,4.5338,2.0922,250,2.12,1146.6,2024-02-08 10:38:00,Diana,Medium,0.478,0.3969
113,Variant_B,Titanium,Static,Mounting_Hole,216.592,4.7526,4.0629,880,3.88,290.9,2024-12-31 02:22:00,Diana,Low,0.2461,0.6149
114,Variant_B,Cast_Iron,Dynamic,Rib_Section,136.775,2.8143,1.4623,200,2.15,1474.6,2024-03-11 05:12:00,Bob,High,0.6839,0.2482
115,Variant_D,Cast_Iron,Dynamic,Base_Plate,122.141,5.0238,1.6375,200,2.57,3149.0,2024-08-07 09:36:00,Alice,Medium,0.6107,0.2991
116,Variant_D,Aluminum,Fatigue,Rib_Section,96.55,3.5428,2.7965,270,4.95,285.3,2024-05-28 13:12:00,Alice,Low,0.3576,0.4973
117,Variant_A,Aluminum,Static,Bracket_Arm,132.379,5.9221,2.0396,270,4.92,2392.7,2024-05-23 05:16:00,Alice,Medium,0.4903,0.3874
118,Variant_A,Aluminum,Static,Base_Plate,69.099,6.4696,3.9074,270,3.36,601.0,2024-09-07 00:11:00,Bob,Low,0.2559,0.6028
119,Variant_B,Titanium,Static,Base_Plate,14.543,4.8416,20.0,880,3.67,1741.6,2024-09-16 12:43:00,Diana,Low,0.0165,0.9901
120,Variant_D,Cast_Iron,Static,Rib_Section,37.385,1.3313,5.3497,200,4.56,3520.4,2024-04-04 00:00:00,Diana,Low,0.1869,0.7018
121,Variant_A,Titanium,Fatigue,Base_Plate,77.131,3.8921,11.4092,880,3.32,1537.2,2024-09-04 22:01:00,Diana,Low,0.0876,0.9474
122,Variant_A,Aluminum,Fatigue,Rib_Section,97.977,0.2831,2.7557,270,4.77,1171.2,2024-04-12 12:57:00,Bob,Low,0.3629,0.4925
123,Variant_C,Steel,Dynamic,Mounting_Hole,221.037,2.5424,1.131,250,1.21,2365.9,2024-06-22 07:26:00,Diana,High,0.8841,0.1148
124,Variant_C,Titanium,Dynamic,Base_Plate,98.865,1.1118,8.901,880,1.96,2140.7,2024-12-10 04:45:00,Diana,Low,0.1123,0.8887
125,Variant_A,Cast_Iron,Dynamic,Weld_Joint,232.297,5.8481,0.861,200,4.14,1893.0,2024-05-05 16:34:00,Diana,High,1.1615,0.0344
126,Variant_A,Aluminum,Static,Bracket_Arm,116.834,3.9517,2.311,270,3.26,619.9,2024-02-08 05:23:00,Alice,Medium,0.4327,0.4328
127,Variant_C,Steel,Dynamic,Rib_Section,151.887,3.1111,1.646,250,2.61,371.6,2024-06-19 01:16:00,Carlos,Medium,0.6075,0.3013
128,Variant_C,Aluminum,Static,Bracket_Arm,89.786,6.782,3.0072,270,2.49,2739.4,2024-08-16 02:52:00,Diana,Low,0.3325,0.5208
129,Variant_A,Aluminum,Dynamic,Base_Plate,69.656,2.2879,3.8762,270,4.96,648.9,2024-07-02 00:00:00,Bob,Low,0.258,0.6002
130,Variant_C,Titanium,Dynamic,Base_Plate,88.788,5.2008,9.9112,880,1.52,713.1,2024-06-17 13:42:00,Carlos,Low,0.1009,0.9359
131,Variant_C,Titanium,Static,Weld_Joint,106.07,3.8131,8.2964,880,2.52,3577.8,2024-10-07 19:24:00,Alice,Low,0.1205,0.8596
132,Variant_C,Steel,Dynamic,Bracket_Arm,173.89,5.0054,1.4377,250,1.4,3551.4,2024-01-11 17:20:00,Alice,High,0.6956,0.2401
133,Variant_B,Steel,Dynamic,Rib_Section,188.35,1.6638,1.3273,250,2.72,3307.9,2024-02-09 03:52:00,Bob,High,0.7534,0.2011
134,Variant_C,Aluminum,Fatigue,Bracket_Arm,114.299,6.2979,2.3622,270,2.21,231.3,2024-04-28 21:01:00,Carlos,Medium,0.4233,0.4405
135,Variant_A,Cast_Iron,Static,Mounting_Hole,203.874,5.6394,0.981,200,3.3,1539.1,2024-07-28 05:49:00,Bob,High,1.0194,0.0392
136,Variant_D,Cast_Iron,Static,Base_Plate,83.037,2.4613,2.4086,200,3.59,158.7,2024-12-11 15:42:00,Diana,Medium,0.4152,0.4472
137,Variant_A,Cast_Iron,Dynamic,Mounting_Hole,216.047,4.2614,0.9257,200,4.97,1752.0,2024-06-27 06:20:00,Carlos,High,1.0802,0.037
138,Variant_C,Steel,Static,Rib_Section,106.518,5.1455,2.347,250,1.74,148.5,2024-04-28 01:38:00,Carlos,Medium,0.4261,0.4382
139,Variant_C,Titanium,Fatigue,Bracket_Arm,123.63,6.0814,7.118,880,2.9,1759.4,2024-09-26 08:20:00,Alice,Low,0.1405,0.8004
140,Variant_A,Cast_Iron,Static,Weld_Joint,175.456,2.6444,1.1399,200,3.11,1425.0,2024-06-21 06:43:00,Alice,High,0.8773,0.1192
141,Variant_D,Steel,Static,Bracket_Arm,127.294,3.1291,1.964,250,3.14,1514.3,2024-09-28 09:21:00,Diana,Medium,0.5092,0.373
142,Variant_D,Titanium,Fatigue,Weld_Joint,178.489,3.728,4.9303,880,2.71,78.8,2024-05-02 00:00:00,Alice,Low,0.2028,0.6755
143,Variant_D,Cast_Iron,Fatigue,Weld_Joint,186.177,2.0252,1.0742,200,5.61,3163.0,2024-12-02 02:04:00,Carlos,High,0.9309,0.0844
144,Variant_B,Steel,Static,Base_Plate,71.801,0.6875,3.4818,250,1.88,2587.3,2024-04-20 12:26:00,Diana,Low,0.2872,0.567
145,Variant_C,Cast_Iron,Static,Rib_Section,81.088,7.4477,2.4665,200,2.29,1924.6,2024-03-29 05:59:00,Bob,Medium,0.4054,0.4554
146,Variant_C,Cast_Iron,Fatigue,Mounting_Hole,187.908,4.948,1.0644,200,2.31,2084.3,2024-03-13 07:50:00,Diana,High,0.9395,0.0789
147,Variant_B,Steel,Dynamic,Mounting_Hole,250.836,0.6622,0.9967,250,1.7,245.5,2024-06-22 19:44:00,Diana,High,1.0033,0.0399
148,Variant_A,Steel,Dynamic,Weld_Joint,175.047,7.2137,1.4282,250,4.19,1798.8,2024-08-01 19:47:00,Alice,High,0.7002,0.237
149,Variant_A,Aluminum,Dynamic,Weld_Joint,237.842,0.065,1.1352,270,3.99,788.4,2024-05-02 09:07:00,Bob,High,0.8809,0.1169
150,Variant_A,Cast_Iron,Fatigue,Rib_Section,85.75,3.6112,2.3324,200,2.15,3010.9,2024-09-17 05:44:00,,Medium,0.4288,0.436
151,Variant_A,Titanium,Static,Bracket_Arm,79.046,7.8927,11.1328,880,2.75,229.7,2024-08-17 19:30:00,Diana,Low,0.0898,0.9461
152,Variant_D,Aluminum,Static,Mounting_Hole,277.153,5.0106,0.9742,270,3.11,1826.2,2024-04-21 01:37:00,Alice,High,1.0265,0.039
153,Variant_C,Aluminum,Fatigue,Base_Plate,49.508,2.4534,5.4537,270,1.57,3188.7,2024-01-07 00:50:00,Alice,Low,0.1834,0.7081
154,Variant_C,Cast_Iron,Fatigue,Bracket_Arm,97.725,6.2641,2.0466,200,2.99,2693.8,2024-05-15 21:22:00,,Medium,0.4886,0.3887
155,Variant_D,Cast_Iron,Static,Rib_Section,109.481,0.3947,1.8268,200,2.84,3253.3,2024-07-10 08:47:00,Alice,Medium,0.5474,0.3446
156,Variant_C,Titanium,Fatigue,Mounting_Hole,200.24,4.1296,4.3947,880,1.24,1775.2,2024-01-12 21:25:00,Carlos,Low,0.2275,0.6393
157,Variant_D,Titanium,Static,Rib_Section,68.107,4.0533,12.9208,880,5.56,610.2,2024-10-12 00:00:00,Alice,Low,0.0774,0.9536
158,Variant_B,Steel,Static,Base_Plate,74.168,4.2769,3.3707,250,1.77,1383.6,2024-01-08 16:13:00,Bob,Low,0.2967,0.5568
159,Variant_B,Cast_Iron,Fatigue,Base_Plate,67.766,5.314,2.9513,200,1.7,3476.1,2024-02-06 16:56:00,Alice,Low,0.3388,0.5148
160,Variant_B,Aluminum,Dynamic,Base_Plate,63.246,5.5305,4.269,270,3.35,1534.2,2024-05-16 01:58:00,Carlos,Low,0.2342,0.6302
161,Variant_A,Cast_Iron,Static,Mounting_Hole,302.104,3.871,0.662,200,3.33,3553.2,2024-07-22 15:31:00,Carlos,High,1.5105,0.0265
162,Variant_D,Cast_Iron,Static,Weld_Joint,228.003,2.9865,0.8772,200,2.76,275.3,2024-09-29 17:26:00,Alice,High,1.14,0.0351
163,Variant_A,Titanium,Static,Weld_Joint,168.012,6.8516,5.2377,880,3.49,449.3,2024-07-02 00:35:00,Alice,Low,0.1909,0.695
164,Variant_B,Aluminum,Dynamic,Mounting_Hole,204.141,5.5257,1.3226,270,3.69,3403.7,2024-12-18 09:08:00,Bob,High,0.7561,0.1992
165,Variant_C,Titanium,Fatigue,Base_Plate,84.191,4.1674,10.4524,880,2.59,3511.6,2024-05-17 13:12:00,Alice,Low,0.0957,0.9426
166,Variant_C,Titanium,Static,Mounting_Hole,254.224,0.757,3.4615,880,1.37,782.8,2024-09-12 21:23:00,Carlos,Low,0.2889,0.5651
167,Variant_B,Steel,Static,Weld_Joint,187.87,7.6643,1.3307,250,2.83,1826.0,2024-09-09 06:21:00,Diana,High,0.7515,0.2023
168,Variant_A,Aluminum,Static,Rib_Section,84.228,0.9267,3.2056,270,2.04,2183.7,2024-08-06 12:51:00,Diana,Low,0.312,0.541
169,Variant_D,Titanium,Static,Bracket_Arm,102.87,5.6227,8.5545,880,5.23,2027.9,2024-10-19 12:14:00,Diana,Low,0.1169,0.872
170,Variant_A,Titanium,Static,Base_Plate,86.508,0.6276,10.1725,880,4.61,950.6,2024-04-13 20:59:00,Alice,Low,0.0983,0.941
171,Variant_D,Aluminum,Static,Rib_Section,105.571,7.6329,2.5575,270,5.53,2194.0,2024-06-28 09:52:00,Bob,Low,0.391,0.4677
